,close,Prediction,Ratio
114,63.099998,63.049999,-0.07923772041957822
115,63.049999,63.099998,0.07930055637273004
116,63.099998,63.25,0.2377210851892686
117,63.25,63.549999,0.47430671936758984
118,63.549999,64.0,0.708105439938711
119,64.0,63.049999,-1.4843765625000005
120,63.049999,63.599998,0.8723219805284899
121,63.599998,64.300003,1.1006368270640499
122,64.300003,64.699997,0.6220746210540584
123,64.699997,64.599998,-0.1545579669810393
124,64.599998,64.400002,-0.3095913408542206
125,64.400002,64.349998,-0.07764596032155957
126,64.349998,64.349998,0.0
127,64.349998,64.050003,-0.46619271068197854
128,64.050003,64.099998,0.0780562024329523
129,64.099998,63.650002,-0.7020218627775909
130,63.650002,64.699997,1.6496385970262706
131,64.699997,64.650002,-0.07727202831244728
132,64.650002,63.900002,-1.160092771536192
133,63.900002,62.400002,-2.347417766903981
134,62.400002,62.150002,-0.40064101279996267
